quiz_avg,hw_avg,exam_1,exam_2,exam_3,final_exam
100,130.74324,47,50,50,115
100,133.33327,43,43,46,115
100,133.33328,48,50,46,115
95.625,133.33328,50,49,41,114
98.125,133.33327,50,47,48,114
87.5,129.52923,50,49,48,112
100,133.33328,50,50,45,112
95.625,133.33328,45,50,47,112
91.25,133.04592,44,49,43,110
99.6875,133.33328,49,47,49,109
100,133.33328,49,45,50,108
100,132.82956,47,46,50,108
58.75,124.13789,50,46,45,108
85.625,114.81935,44,47,40,108
99.375,133.33328,50,50,48,108
87.5,129.79377,40,39,17,107
95.625,132.22836,44,50,44,106
99.375,104.10369,44,48,50,106
100,122.0782,48,50,50,106
96.25,123.55845,50,43,39,105
91.25,130.52867,48,50,41,104
84.375,132.84394,32,32,43,104
90,130.8965,50,45,50,104
85.625,122.38646,35,36,29,104
96.25,133.33327,50,47,42,104
100,128.73558,46,49,50,104
88.125,133.33328,42,47,41,102
93.125,126.94922,43,48,46,101
96.875,114.74625,38,45,41,100
95.625,127.51927,44,44,44,99
83.75,131.94567,44,31,50,99
63.125,132.75856,21,23,33,98
89.375,107.83413,49,46,48,98
83.125,118.19727,21,34,31,98
97.5,132.73557,45,48,48,98
82.5,113.53061,30,36,39,98
95,114.53904,32,40,44,98
87.5,132.33328,42,42,41,98
95.625,129.34559,37,38,43,97
75,130.92359,41,39,32,97
88.125,133.33328,40,35,40,97
81.875,133.33328,36,49,47,96
89.375,111.11847,32,35,17,95
72.85714,132.6334,44,40,43,95
96.25,131.74132,46,42,50,95
80,120.95496,25,46,25,94
94.375,129.92778,33,40,40,93
79.375,133.33327,39,23,43,93
90.625,129.2228,44,40,41,93
80.625,89.99854,44,29,41,93
93.75,114.82589,34,48,46,91
95.625,127.27005,50,46,48,91
88.75,97.08143,38,48,40,91
91.875,133.33328,49,41,47,91
89.375,132.67646,36,41,42,90
89.375,128.43099,50,46,50,89
86.875,115.45223,33,49,37,89
77.14285,80.65513,44,33,45,89
74.375,113.58988,36,25,30,89
90.71428,109.82503,42,44,42,89
82.85714,131.03443,45,46,42,89
81.875,124.86357,30,34,46,88
80.625,133.33328,42,45,32,88
33.125,129.91693,43,35,43,87
87.85714,116.7323,40,47,33,87
79.375,115.63489,46,48,45,86
98.125,107.81277,41,28,32,86
95.625,133.33328,48,45,46,86
78.125,116.53333,46,28,48,83
88.75,121.51417,34,42,41,83
73.125,126.88609,39,39,33,83
87.5,117.86585,45,38,42,82
73.33333,90.60536,30,38,37,82
90.625,129.0919,46,50,42,81
83.125,111.07448,33,46,38,81
65.625,88.36652,32,19,27,81
67.5,133.33328,16,30,43,81
77.5,121.80249,16,29,34,80
84.375,95.23081,39,33,34,80
86.42857,105.93937,39,45,31,78
80,107.27938,34,39,36,78
86.66666,63.23311,30,42,44,78
95,133.33328,44,41,44,78
80.625,128.57956,27,31,30,77
90,133.33328,39,38,35,77
89.375,100.25802,34,49,43,77
88.75,115.91715,44,36,48,77
70.625,123.69643,17,30,37,76
76.42857,103.09815,36,35,43,76
90,119.23366,42,43,29,76
70.625,89.92426,48,39,30,75
85,127.82334,37,27,40,75
88.75,102.02608,43,32,30,75
81.875,96.41485,36,25,38,75
70.625,121.03087,42,32,37,74
76.66666,67.68289,41,30,27,74
80,110.96504,44,22,35,73
88.57142,122.67861,45,43,30,73
85.625,108.20893,23,33,19,73
92.85714,116.09975,27,22,34,72
83.125,106.02972,42,33,27,72
77.5,103.15053,32,36,36,69
76.875,107.37827,31,33,33,69
78.125,94.36467,42,47,40,69
67.5,95.64317,30,40,24,68
58.125,116.7938,41,21,26,68
78.75,83.6827,44,25,34,68
49.16666,98.27644,37,35,31,67
84.375,118.94568,40,41,28,67
49.375,133.33327,27,32,27,67
93.33333,126.73295,44,37,35,66
61.42857,83.7555,36,22,24,66
77.5,123.34749,28,28,39,65
86.42857,120.12419,44,38,30,64
84.28571,132.18385,48,41,38,64
34.375,88.50504,42,37,14,64
84.375,110.22849,33,32,34,62
90.71428,127.22682,42,14,34,62
72.5,125.23147,30,41,33,62
63.125,105.1912,28,33,27,57
66.25,115.27204,20,38,30,57
73.125,113.64453,29,39,22,53
33.125,90.17409,47,38,26,51
65.625,133.33328,21,37,28,51
91.25,98.86131,19,19,8,48
65.625,75.14826,20,20,11,47
78.125,71.36151,35,23,33,43
10,48.54211,41,12,29,42
